tipo_dieta,alimento_g_dia,temperatura,humedad_ambiental,especie,tiempo_desarrollo,proteina_harina,lipidos_harina,tasa_supervivencia,fuente,observaciones
D1,3.76,30.7,76.7,Gryllidae,48,55.15,32.84,77.9,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,0.92,28.7,76.8,Gryllidae,53,58.63,30.83,79.7,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,0.91,29.7,65.6,Gryllidae,52,52.4,35.12,90.0,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,0.81,31.6,59.5,Gryllidae,34,50.5,38.24,85.8,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,2.8,30.3,73.2,Gryllidae,54,53.66,36.87,78.8,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,1.97,29.5,69.8,Gryllidae,46,59.69,29.19,83.8,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,3.21,29.6,61.2,Gryllidae,39,58.7,30.29,90.2,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,2.85,27.0,52.8,Gryllidae,45,61.8,28.77,81.9,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,1.67,24.3,72.4,Gryllidae,59,59.32,32.0,82.4,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,3.64,28.4,57.9,Gryllidae,55,58.67,29.96,88.3,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,3.17,26.1,78.1,Gryllidae,55,55.32,33.97,82.6,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,1.45,28.1,57.2,Gryllidae,43,59.79,31.81,84.4,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,1.77,32.5,53.7,Gryllidae,53,59.09,29.24,74.7,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,1.6,26.3,74.9,Gryllidae,41,61.32,27.79,82.0,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,1.05,24.6,54.6,Gryllidae,50,61.79,28.19,73.3,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,1.02,26.8,55.4,Gryllidae,49,62.45,27.57,78.1,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,3.78,26.9,68.0,Gryllidae,37,53.08,36.26,92.6,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,2.03,30.6,76.2,Gryllidae,37,55.14,34.1,78.1,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,1.84,29.6,55.9,Gryllidae,31,61.27,27.39,79.6,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,3.05,31.8,59.3,Gryllidae,34,52.0,36.86,80.6,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,2.44,30.6,73.3,Gryllidae,43,54.69,33.73,86.4,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,3.78,28.1,79.2,Gryllidae,44,53.83,36.08,74.3,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,3.23,32.1,65.0,Gryllidae,34,55.75,32.83,78.8,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,2.18,25.7,54.3,Gryllidae,42,60.81,28.78,77.0,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,1.82,24.2,50.4,Gryllidae,48,61.64,29.18,79.7,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,3.95,24.9,56.9,Gryllidae,36,53.91,35.56,81.9,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,3.01,31.2,54.0,Gryllidae,40,52.7,36.25,81.3,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,3.83,28.6,70.3,Gryllidae,41,58.88,29.38,84.7,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,0.91,25.6,53.7,Gryllidae,45,55.97,33.7,75.5,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,3.48,29.0,65.2,Gryllidae,40,55.34,32.8,94.1,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,2.73,25.5,70.8,Gryllidae,52,56.8,32.77,84.3,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,0.93,31.0,67.4,Gryllidae,39,55.51,32.31,87.8,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,2.56,28.5,56.0,Gryllidae,43,57.4,32.48,85.8,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,2.9,27.8,74.1,Gryllidae,41,53.59,34.4,88.3,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,0.54,27.0,71.5,Gryllidae,35,61.05,28.0,87.9,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,2.09,30.3,72.2,Gryllidae,50,54.69,34.89,86.6,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,3.39,27.6,53.9,Gryllidae,37,59.09,30.95,88.3,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,1.53,24.9,53.7,Gryllidae,38,58.4,30.73,71.7,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,2.1,25.2,77.8,Gryllidae,53,57.24,33.51,68.8,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,2.05,33.6,61.9,Gryllidae,58,55.17,33.47,82.5,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,1.56,33.1,59.0,Gryllidae,50,56.8,32.59,82.2,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,3.71,31.0,64.7,Gryllidae,57,59.96,30.27,83.2,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,3.23,26.7,69.9,Gryllidae,55,60.39,29.13,80.4,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,0.89,33.7,78.7,Gryllidae,44,47.68,40.28,70.2,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,3.99,31.8,58.6,Gryllidae,53,55.93,32.78,84.1,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,3.58,31.2,77.7,Gryllidae,39,60.85,28.95,84.0,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,1.49,28.5,50.7,Gryllidae,43,53.95,36.06,84.4,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,3.43,26.7,66.7,Gryllidae,46,60.88,28.36,88.9,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,0.87,25.0,69.0,Gryllidae,58,63.89,24.72,80.7,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,4.0,33.0,53.2,Gryllidae,55,56.93,33.9,73.1,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,2.83,28.6,54.2,Gryllidae,44,59.41,32.77,83.7,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,2.78,26.0,62.6,Gryllidae,49,59.23,30.25,84.0,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,0.82,27.1,79.0,Gryllidae,36,53.28,33.63,89.7,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,3.64,29.8,67.9,Gryllidae,54,55.81,33.07,95.3,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,0.6,25.8,78.0,Gryllidae,46,55.46,33.37,83.6,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,1.34,32.6,74.1,Gryllidae,45,56.0,33.03,72.5,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D2,1.0,31.6,64.0,Gryllidae,52,53.17,34.46,88.6,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D1,3.22,31.2,73.5,Gryllidae,48,57.26,32.72,82.8,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
D3,1.19,28.3,50.5,Gryllidae,32,60.36,30.18,84.4,SIMULADO,Fila generada por simular_datos.py. No es un dato real.
